age,gender,region,income,credit_score,loan_amount,loan_term,employment_years,existing_loans,loan_approved
53,Male,Rural,559839,655,933099,24,28,1,0
57,Female,Urban,295251,794,535302,72,4,5,0
21,Male,Rural,103874,603,244551,12,2,5,0
19,Female,Urban,1978515,642,378271,48,26,5,0
23,Male,Rural,1376987,477,461096,60,4,2,0
59,Male,Urban,1286147,318,525931,36,19,4,0
21,Male,Urban,1146054,630,620729,48,22,4,0
46,Female,Urban,1289232,340,406160,24,31,2,0
35,Female,Urban,1059979,560,202222,48,11,5,0
43,Female,Urban,528677,561,818605,72,31,4,0
61,Male,Urban,430583,686,507319,60,15,5,0
51,Female,Urban,1340950,600,666179,24,26,1,1
27,Female,Urban,161844,529,942596,36,0,4,0
53,Male,Urban,433731,886,466657,24,11,1,1
31,Male,Urban,1916593,411,815348,48,12,2,0
48,Male,Urban,1325071,662,885050,12,7,2,0
65,Female,Urban,547744,475,814220,12,38,4,0
32,Male,Urban,1771388,707,504578,24,28,0,1
25,Female,Urban,827312,665,825496,72,38,3,0
31,Female,Urban,1413732,859,810910,24,15,4,0
40,Female,Rural,1188888,709,547500,60,4,2,0
57,Male,Urban,1973142,476,896180,48,32,2,0
38,Female,Urban,1959441,773,498054,24,19,2,0
33,Male,Urban,1754149,738,509691,12,37,3,1
62,Male,Urban,1629401,348,885016,36,35,3,0
35,Female,Rural,224150,581,617908,72,31,0,0
64,Male,Rural,333644,766,739161,48,1,3,0
41,Male,Rural,1432551,768,584296,60,11,2,0
43,Male,Rural,1922842,510,897420,48,38,4,0
42,Male,Urban,1994104,426,363343,12,11,3,0
62,Male,Urban,426098,616,85510,48,33,2,1
58,Male,Urban,543003,595,720181,60,40,4,0
46,Female,Rural,1421775,318,558681,60,33,3,0
32,Male,Urban,332113,590,796387,36,11,3,0
62,Female,Urban,1334150,446,342009,48,16,1,0
18,Male,Urban,1555415,388,709518,36,5,5,0
42,Male,Urban,692520,539,192280,24,29,3,0
24,Female,Urban,1767065,733,85320,36,21,3,0
26,Male,Urban,1944699,395,620794,24,36,0,0
41,Female,Urban,1225565,481,409882,24,22,5,0
18,Female,Urban,1697940,492,625491,24,15,2,0
61,Male,Urban,1969432,437,250944,12,25,1,0
25,Female,Urban,1561534,669,946155,72,39,3,1
41,Male,Urban,630752,887,953464,60,30,2,0
28,Female,Urban,593628,792,252238,24,1,3,1
34,Female,Rural,1878825,544,316762,72,2,0,0
25,Female,Urban,427805,704,216642,48,23,0,1
52,Male,Urban,857439,447,597231,12,26,2,0
52,Male,Urban,1726303,669,891297,24,36,4,0
50,Male,Urban,1601105,415,178807,24,35,3,0
22,Male,Rural,701301,601,708229,60,16,4,0
59,Male,Urban,839520,821,810957,12,39,2,0
56,Female,Rural,313580,420,148285,12,29,1,0
58,Male,Urban,132397,526,70178,72,3,1,0
45,Female,Urban,1397430,378,512543,36,40,3,0
24,Female,Rural,715142,645,151762,48,17,3,0
26,Female,Urban,1220638,439,858844,60,39,1,0
25,Male,Urban,168763,835,200583,72,26,0,1
29,Male,Rural,1812953,588,170304,36,30,5,0
51,Female,Urban,871751,628,732802,36,37,3,0
50,Female,Urban,1401183,729,550476,48,39,2,1
65,Female,Urban,1863936,399,581108,72,11,3,0
40,Female,Rural,584481,900,685636,60,30,2,0
41,Male,Rural,1360970,306,226751,72,27,1,0
54,Female,Urban,1109888,470,840109,72,35,3,0
52,Male,Rural,949931,562,457053,48,25,0,0
61,Female,Urban,1455623,671,117959,60,12,2,0
57,Female,Urban,126971,843,340546,24,17,0,0
39,Female,Urban,483049,796,219331,72,16,2,1
44,Female,Rural,977678,358,598771,12,40,4,0
52,Female,Rural,937089,634,253333,24,31,5,0
18,Male,Urban,926232,329,399471,24,36,0,0
52,Male,Urban,1396580,559,339960,24,21,5,0
54,Female,Rural,1748830,845,499831,48,34,0,1
64,Male,Rural,1729096,436,481519,60,15,5,0
31,Male,Urban,1692383,615,851675,24,2,0,1
20,Male,Urban,490929,759,383546,12,21,0,1
18,Female,Rural,564837,707,279222,24,30,0,1
22,Male,Rural,540970,482,691496,36,15,1,0
43,Female,Rural,1882253,546,690856,36,1,3,0
31,Female,Urban,713440,328,790024,48,39,0,0
56,Female,Rural,606518,609,988631,72,21,5,0
44,Male,Rural,1425315,478,87545,72,13,4,0
26,Female,Urban,533926,804,674354,12,13,2,0
32,Female,Rural,1206088,676,354453,48,4,5,0
32,Female,Rural,608080,577,236090,48,26,1,0
43,Female,Urban,117552,782,255763,48,15,5,0
59,Female,Urban,411882,575,853243,72,3,3,0
30,Male,Urban,640726,592,817458,24,22,1,0
49,Female,Urban,893209,427,96297,60,9,5,0
56,Male,Urban,721082,606,803694,60,30,1,0
49,Male,Urban,1705515,372,600228,12,16,5,0
21,Female,Rural,717134,672,812327,24,38,5,0
47,Male,Urban,1963329,733,371142,72,26,4,0
54,Male,Rural,1943335,361,722134,60,39,3,0
40,Female,Urban,760502,343,232681,36,14,4,0
56,Female,Urban,895161,669,628715,72,23,4,0
62,Male,Urban,732993,822,942289,72,34,3,0
32,Female,Urban,304535,360,250955,48,12,1,0
60,Male,Urban,1232703,782,849787,72,13,1,0
46,Male,Urban,954533,479,404630,60,5,1,0
53,Male,Rural,1690976,321,799712,72,5,4,0
30,Male,Rural,121880,814,415198,48,31,3,0
49,Male,Rural,784346,872,443685,24,20,1,1
24,Male,Rural,966993,648,352239,60,20,2,1
39,Female,Urban,624995,864,218921,48,29,4,0
45,Female,Urban,838520,523,487913,60,21,0,0
19,Female,Urban,1513383,836,726799,60,18,1,1
59,Female,Rural,511175,605,766273,12,1,4,0
62,Male,Urban,676429,602,485511,72,32,3,0
23,Female,Urban,1277939,655,100263,12,0,3,1
45,Female,Urban,735341,877,584613,24,23,0,1
45,Male,Urban,1908383,568,262598,48,20,1,0
61,Male,Urban,1469248,314,437034,72,39,0,0
61,Female,Urban,604121,817,556260,12,9,3,1
37,Female,Urban,973331,552,88052,12,11,1,0
47,Female,Urban,112418,384,421335,24,22,2,0
28,Male,Urban,564974,853,507869,36,11,2,0
45,Male,Urban,875634,462,215245,36,15,2,0
42,Female,Urban,1955552,536,460945,60,2,0,0
56,Female,Rural,362712,381,118806,24,1,5,0
50,Male,Urban,937026,889,176362,48,5,1,1
18,Male,Rural,1507923,701,566103,72,21,5,0
44,Female,Urban,1502848,447,90131,12,2,2,0
30,Female,Urban,1870418,736,784729,36,8,5,0
58,Male,Urban,160176,859,906557,12,20,5,0
20,Male,Urban,1554028,454,153413,60,36,0,0
56,Female,Urban,1817167,887,751742,12,32,1,0
23,Female,Urban,636139,428,887769,24,0,3,0
25,Male,Urban,148742,418,503890,48,0,5,0
44,Male,Urban,1704634,569,979430,12,6,2,0
26,Female,Urban,656311,715,227216,72,36,2,0
54,Male,Rural,572567,309,230542,72,39,0,0
50,Female,Urban,1896432,709,768649,48,40,5,0
59,Female,Rural,1890343,522,800571,72,11,0,0
61,Male,Rural,984969,876,120180,24,31,5,1
41,Female,Rural,251983,477,173068,60,26,2,0
32,Female,Urban,571327,476,557769,24,28,5,0
49,Female,Urban,1228476,843,387211,36,1,3,1
49,Male,Rural,1682185,876,713316,60,18,0,0
41,Female,Urban,1857791,325,506317,12,24,0,0
58,Male,Urban,1857816,496,140461,48,34,2,0
29,Female,Urban,772359,709,856296,60,0,0,0
56,Female,Urban,1106768,364,856958,60,27,2,0
19,Male,Rural,540972,777,182944,36,17,2,0
20,Female,Rural,853023,695,971127,12,17,1,0
54,Female,Rural,1316344,783,777474,72,23,0,1
34,Male,Urban,577481,482,620710,60,28,2,0
19,Male,Urban,359337,900,345890,36,18,0,1
19,Female,Urban,1677753,563,110651,48,30,5,0
45,Male,Urban,625206,326,430052,48,30,4,0
40,Male,Urban,148043,550,795734,72,21,4,0
54,Female,Urban,1678059,807,65237,12,28,4,1
49,Female,Urban,258890,427,448017,72,19,1,0
50,Female,Urban,1131731,715,732754,12,1,1,1
18,Male,Rural,1710487,718,536824,12,3,4,0
36,Male,Rural,1312026,719,283723,48,18,3,0
19,Male,Urban,768473,528,131546,24,6,5,0
61,Female,Urban,1426808,843,220133,12,15,0,1
43,Female,Rural,475627,378,268545,24,32,1,0
49,Male,Rural,1236739,355,804938,24,38,2,0
23,Male,Rural,804785,353,212095,12,19,5,0
49,Female,Urban,626633,713,287620,24,3,0,0
21,Female,Urban,817011,772,61433,24,14,2,0
28,Male,Urban,1561249,831,680767,24,29,3,1
34,Female,Urban,1862235,501,936792,72,38,1,0
55,Male,Urban,602048,522,794275,36,13,2,0
41,Female,Rural,1905997,428,703057,60,5,4,0
22,Female,Urban,188272,629,725313,12,21,1,0
51,Female,Rural,761050,740,984718,36,17,2,0
23,Male,Urban,1310979,427,467113,12,14,1,0
39,Male,Urban,751229,440,144963,60,20,2,0
28,Female,Urban,1972568,769,65126,24,35,4,1
65,Male,Urban,581725,881,773533,36,11,5,0
33,Female,Rural,1359710,460,294477,12,26,4,0
50,Female,Urban,1708520,748,848164,24,10,2,1
26,Female,Rural,1364286,814,525990,48,30,2,1
23,Female,Rural,1490246,688,534427,36,0,1,0
33,Female,Rural,1452276,823,878931,72,24,2,0
46,Female,Urban,672437,588,770094,36,24,4,0
20,Male,Urban,1732528,788,153259,48,16,2,1
37,Male,Urban,115490,326,896899,24,6,1,0
53,Male,Urban,1000895,668,444036,60,31,1,1
36,Male,Rural,808896,312,990341,48,24,5,0
43,Female,Urban,741215,665,131203,48,17,2,0
20,Female,Rural,120745,422,922230,12,34,3,0
36,Female,Rural,1381796,553,401867,36,25,0,0
37,Female,Rural,535011,660,294771,60,11,4,0
49,Female,Urban,1744786,485,262334,60,38,1,0
24,Female,Urban,727365,619,539854,60,13,1,0
58,Male,Urban,633471,733,670621,36,7,3,1
50,Female,Rural,1967365,599,336197,60,21,3,0
57,Male,Urban,219464,829,430446,12,11,1,0
56,Female,Urban,1507187,317,130800,24,31,2,0
35,Male,Urban,1754344,775,816485,12,12,2,1
57,Female,Urban,1141084,305,488691,24,32,4,0
18,Female,Urban,883246,486,471469,72,0,0,0
28,Female,Urban,1326759,342,700931,36,27,3,0
45,Female,Rural,203863,549,873816,48,2,1,0
42,Female,Urban,1510657,496,485016,48,15,5,0
40,Male,Rural,947645,502,214853,60,31,5,0
48,Male,Urban,432361,488,479375,60,9,4,0
47,Female,Urban,1107693,772,352219,36,0,4,1
59,Male,Rural,1899035,572,461867,48,6,0,0
52,Male,Urban,1000599,389,886751,24,6,3,0
24,Male,Rural,1216858,569,534708,36,3,2,0
33,Male,Rural,1606999,850,634944,48,3,2,1
43,Male,Urban,1217397,419,386376,24,24,3,0
65,Male,Urban,1142316,866,157461,60,4,4,1
19,Male,Urban,1217362,539,901720,60,6,4,0
18,Male,Rural,147099,564,113466,48,2,4,0
65,Female,Urban,487642,490,934385,24,34,1,0
29,Female,Rural,730589,582,308398,72,10,2,0
22,Male,Urban,320188,763,418887,36,11,1,0
54,Female,Urban,1806588,389,609110,48,38,0,0
49,Male,Urban,1998557,658,689135,48,15,5,0
26,Female,Urban,146214,679,416512,72,40,2,0
58,Female,Rural,377637,466,868282,72,6,3,0
52,Female,Urban,766082,869,940165,12,20,4,0
36,Female,Urban,1382877,503,874407,72,9,0,0
65,Male,Urban,1314180,425,610093,12,17,3,0
33,Male,Urban,252643,764,447225,72,28,1,1
20,Female,Urban,990317,644,409001,12,25,1,0
37,Male,Urban,297372,725,714288,48,29,4,0
41,Male,Urban,1564773,839,287913,24,0,3,0
50,Male,Urban,612016,510,453410,36,37,2,0
41,Male,Rural,1106512,565,561232,36,14,4,0
28,Female,Urban,956215,566,738883,60,24,2,0
25,Female,Urban,702359,553,628323,48,18,5,0
53,Male,Urban,820267,487,929013,12,27,5,0
55,Male,Rural,1033688,329,464731,36,32,0,0
57,Female,Urban,245564,604,451082,24,14,4,0
37,Female,Rural,1468663,752,184890,24,13,3,1
52,Female,Urban,1860573,329,601729,48,37,2,0
65,Female,Urban,1963777,460,411078,72,34,4,0
42,Female,Urban,547002,722,218710,24,31,2,0
52,Female,Rural,468935,646,170533,60,13,0,1
42,Female,Urban,820302,877,761834,48,12,0,0
46,Male,Urban,1785384,521,113053,48,40,0,0
35,Female,Urban,303151,487,307784,72,20,3,0
63,Male,Urban,1425068,724,906332,60,11,0,1
35,Female,Urban,890965,848,653027,60,14,0,1
19,Male,Urban,1617539,810,653463,72,23,5,0
52,Female,Urban,321848,505,707773,24,19,4,0
33,Male,Rural,507951,670,802913,12,0,5,0
58,Female,Urban,1663691,773,394249,36,13,1,1
53,Male,Urban,283667,691,329363,48,1,4,0
50,Male,Urban,864277,778,906022,48,7,3,0
21,Male,Rural,1882763,808,381030,36,10,3,1
50,Male,Rural,374014,356,141203,24,19,5,0
31,Male,Rural,1091790,366,114232,36,16,0,0
38,Male,Urban,446596,327,536381,12,11,3,0
65,Female,Urban,720960,531,69883,24,19,2,0
37,Male,Urban,1595705,406,127909,48,9,2,0
25,Male,Rural,1226882,436,468290,36,20,2,0
24,Female,Urban,1553351,677,88577,36,2,4,0
20,Female,Urban,1178086,690,471690,24,3,1,1
34,Male,Urban,138828,898,536443,48,23,1,0
50,Male,Urban,1394441,375,480144,36,36,5,0
65,Female,Rural,867184,754,648985,60,26,1,0
29,Male,Rural,699722,644,283335,36,30,4,0
39,Male,Urban,1984950,889,225521,36,9,4,0
39,Female,Urban,1230286,869,74990,12,3,2,1
63,Male,Urban,895435,758,849373,12,11,0,0
47,Female,Urban,1464817,662,93315,36,14,5,0
55,Male,Urban,288585,873,987839,36,25,4,0
55,Female,Rural,1892779,442,282082,12,33,3,0
62,Female,Urban,1196189,878,341181,60,0,5,1
25,Male,Rural,1080643,444,622444,48,17,0,0
44,Female,Rural,244974,668,365639,24,8,5,0
44,Female,Rural,1351793,727,638909,36,33,3,0
51,Male,Urban,1105528,552,500358,48,29,3,0
38,Female,Urban,1773100,447,413235,36,3,3,0
47,Male,Rural,1428855,426,907373,12,23,1,0
50,Female,Rural,1366768,651,770330,72,25,0,0
45,Male,Rural,944224,420,821549,36,6,4,0
64,Male,Rural,594199,673,807050,48,20,1,0
50,Male,Urban,895748,640,486309,72,13,4,0
22,Male,Urban,1805328,330,568708,24,33,4,0
65,Male,Urban,1559994,644,799889,12,9,0,0
36,Female,Urban,757043,852,267382,60,10,5,0
21,Female,Urban,701617,503,877928,36,39,1,0
52,Male,Urban,1175007,671,820860,24,6,2,0
34,Male,Urban,539036,711,710999,48,34,3,1
61,Female,Urban,437160,860,86703,72,39,2,1
45,Male,Urban,888681,527,86459,12,27,3,0
47,Male,Rural,1551125,331,873494,24,14,3,0
46,Female,Rural,473882,645,696586,60,37,2,0
63,Male,Rural,1919672,496,660901,36,40,4,0
23,Male,Urban,1716240,593,448044,12,0,5,0
52,Female,Urban,1882144,888,274634,24,13,1,1
58,Female,Rural,1826010,421,270161,48,12,3,0
54,Male,Urban,581187,674,441013,48,21,5,0
41,Female,Urban,487345,856,553786,72,20,1,0
46,Female,Urban,262126,315,483392,72,40,0,0
63,Male,Urban,1598528,737,315102,72,36,1,1
48,Male,Urban,481461,648,418629,60,17,0,1
52,Male,Urban,1388535,509,539718,72,40,3,0
50,Male,Urban,1815520,459,947683,36,8,4,0
38,Male,Urban,1440554,584,806569,60,38,4,0
49,Male,Rural,464650,351,550874,24,30,5,0
40,Male,Urban,163833,380,441382,72,35,4,0
50,Female,Urban,1993061,680,82040,12,4,5,0
20,Female,Urban,268928,651,192832,12,30,0,1
35,Female,Rural,430189,584,577859,24,0,1,0
42,Female,Urban,1028983,789,442681,12,21,3,0
59,Female,Urban,668101,686,450451,72,14,4,1
48,Female,Urban,828445,734,948819,24,25,3,0
20,Male,Rural,1018576,879,248959,72,28,3,0
57,Male,Rural,1586440,343,782928,60,40,3,0
63,Female,Urban,262448,806,807590,36,26,0,0
41,Male,Rural,1561304,469,276519,48,33,1,0
49,Male,Urban,1455277,374,386188,48,20,4,0
64,Female,Urban,1128434,307,343018,48,11,1,0
39,Female,Rural,1925799,774,99734,12,34,4,1
40,Female,Urban,1286487,471,707441,60,33,0,0
19,Male,Urban,284342,736,827468,60,32,2,0
44,Male,Rural,1893601,750,979475,48,22,0,1
59,Female,Urban,1400226,794,211281,72,7,1,1
19,Male,Urban,1960020,758,505574,60,37,4,1
43,Male,Urban,1825324,484,252607,24,18,1,0
34,Male,Urban,1264356,466,604787,48,34,5,0
57,Female,Urban,1444081,606,751686,48,26,1,1
50,Female,Urban,1323168,576,285989,36,29,0,0
26,Female,Urban,113284,389,567513,48,19,1,0
60,Male,Rural,1607604,518,197945,12,27,0,0
65,Male,Urban,1038475,740,564274,72,9,1,1
56,Male,Urban,370418,697,880184,24,24,2,0
46,Female,Urban,594903,770,462378,60,13,5,0
59,Male,Urban,1752837,709,441614,72,0,5,0
43,Male,Urban,1194881,583,147623,12,29,3,0
52,Female,Urban,1451041,530,365846,24,12,2,0
42,Male,Rural,1968243,320,932482,72,24,4,0
41,Female,Urban,1229246,575,648420,72,11,0,0
30,Female,Urban,957228,778,264906,36,23,3,0
24,Male,Urban,296109,646,243223,48,5,1,1
53,Male,Urban,100997,471,259393,60,8,5,0
62,Male,Urban,462827,842,378675,72,37,0,1
37,Male,Urban,727640,308,373524,48,22,4,0
18,Male,Rural,1742495,843,902559,12,5,2,1
25,Female,Rural,371703,501,505057,48,34,5,0
63,Male,Rural,981639,479,508167,24,27,1,0
33,Female,Rural,1455614,838,758523,48,4,4,0
31,Male,Urban,877869,813,226051,48,19,0,1
29,Male,Urban,778769,682,894644,36,15,4,0
40,Male,Urban,526077,693,227266,48,19,3,1
32,Female,Urban,830010,880,146660,36,21,3,0
45,Male,Rural,1082627,545,670053,12,22,1,0
51,Female,Urban,930533,724,362460,36,11,4,0
19,Female,Rural,1352477,603,306829,36,32,1,1
49,Female,Rural,1232405,415,514611,12,38,0,0
40,Female,Rural,586782,416,874650,36,27,4,0
39,Male,Rural,506715,731,963477,48,3,0,1
42,Female,Urban,1081497,424,790797,12,38,0,0
39,Female,Urban,1568997,332,291736,12,7,5,0
39,Female,Urban,1630766,772,456931,36,20,4,0
59,Male,Rural,655319,734,351500,36,11,0,1
23,Female,Urban,740855,322,375373,24,34,3,0
32,Male,Urban,689757,381,918198,12,15,1,0
60,Male,Urban,1994156,502,556007,60,7,1,0
54,Female,Urban,1116966,854,181531,48,4,1,1
50,Female,Urban,1246476,406,173817,72,11,1,0
25,Female,Rural,1913652,373,498802,72,25,3,0
61,Female,Urban,1022725,655,597494,36,36,4,0
61,Male,Urban,722949,500,79272,72,40,4,0
22,Male,Urban,599853,661,398378,12,8,0,1
56,Female,Urban,732578,888,915961,12,40,0,0
21,Male,Urban,1536478,770,62096,48,27,3,1
23,Female,Urban,1576778,684,558160,12,39,2,0
62,Male,Urban,1074188,318,837660,60,7,4,0
49,Male,Urban,536235,873,981494,24,1,0,0
47,Female,Rural,961238,420,70465,48,21,3,0
64,Male,Rural,1468565,434,89207,60,29,5,0
52,Female,Urban,227956,554,869845,12,15,5,0
57,Male,Urban,222613,663,388076,12,23,4,0
33,Male,Urban,1378837,633,513278,36,26,3,0
30,Female,Urban,1802803,844,367105,48,32,4,0
59,Male,Urban,715002,305,245139,24,5,3,0
47,Female,Urban,538596,893,293222,36,29,1,0
36,Male,Rural,1486412,433,364347,72,25,5,0
34,Male,Urban,1783254,862,434263,12,13,2,0
36,Female,Rural,1219930,521,187729,24,30,2,0
45,Female,Urban,509418,567,971859,48,15,4,0
43,Male,Urban,1732752,431,278146,60,20,3,0
54,Female,Urban,456667,351,361254,24,1,5,0
43,Female,Rural,658780,554,346596,36,7,4,0
40,Male,Urban,1662409,608,761476,60,6,3,0
26,Male,Rural,706379,648,606775,60,25,1,1
29,Female,Urban,1817637,569,57069,24,20,4,0
18,Male,Urban,1448164,704,974320,72,17,3,0
18,Male,Urban,379829,458,770533,24,17,3,0
64,Female,Urban,1997792,468,724309,36,0,2,0
51,Male,Urban,1165043,872,247203,24,26,0,1
49,Female,Urban,1728247,570,64790,48,7,0,0
65,Female,Urban,1714995,776,722029,60,27,0,1
42,Female,Urban,1196445,698,276024,60,37,5,0
57,Female,Rural,671182,640,918152,36,1,1,0
62,Male,Urban,1124943,899,85847,24,21,5,0
18,Male,Urban,760188,306,457440,72,19,3,0
33,Male,Rural,1917321,323,395450,24,13,0,0
56,Female,Urban,1745079,868,436719,60,34,4,0
22,Male,Urban,1166746,619,862335,60,30,1,0
39,Male,Rural,1621991,836,979288,36,40,4,0
46,Female,Urban,1734401,755,536443,24,2,1,1
20,Female,Rural,1070965,717,560915,12,7,5,1
29,Male,Urban,125382,782,895058,24,25,4,0
43,Male,Urban,387030,865,874107,36,23,0,0
33,Female,Urban,1740160,385,177793,60,14,1,0
54,Female,Urban,826387,802,220211,60,36,3,1
39,Male,Urban,1637501,663,74879,12,37,1,1
46,Male,Urban,1134422,336,315225,12,14,0,0
31,Female,Urban,429662,585,481437,36,34,2,0
45,Female,Urban,1829868,806,824399,24,37,3,1
22,Female,Urban,689419,487,825313,60,16,5,0
64,Male,Urban,1734194,429,181104,72,30,0,0
47,Male,Urban,1127897,603,188741,48,1,1,1
63,Female,Urban,1155129,835,377257,48,4,0,1
22,Male,Urban,369008,548,963727,48,1,1,0
29,Male,Urban,329732,526,349519,60,1,1,0
33,Male,Urban,1684218,783,384257,60,25,3,0
43,Female,Urban,1108814,623,978362,48,37,1,1
43,Female,Urban,110893,307,705771,12,36,2,0
65,Female,Urban,260386,355,756625,48,9,0,0
38,Female,Urban,252516,872,63412,12,26,0,1
56,Female,Urban,809246,850,226223,36,7,1,0
53,Female,Urban,360856,573,672554,72,9,1,0
50,Male,Rural,146477,396,764142,48,34,3,0
47,Male,Urban,384138,397,720531,72,23,3,0
54,Female,Urban,1683832,510,915634,48,23,1,0
40,Male,Urban,649390,853,791727,12,30,4,0
27,Female,Rural,283468,864,910938,12,3,5,0
22,Male,Rural,1778052,332,893256,72,39,1,0
53,Male,Urban,1409868,576,81092,12,13,5,0
51,Female,Urban,603042,743,750950,36,35,5,0
48,Female,Urban,788492,726,189950,48,25,2,1
27,Female,Rural,402474,429,476043,72,11,0,0
36,Female,Urban,1545123,595,734902,12,26,4,0
49,Male,Urban,198416,861,629703,72,5,4,0
18,Male,Rural,897146,778,383730,72,26,4,0
22,Female,Urban,153726,874,349472,36,13,0,1
62,Male,Urban,1981265,409,181888,36,21,3,0
21,Male,Rural,1092079,619,814371,60,19,4,0
33,Male,Rural,1393815,477,130753,12,2,5,0
41,Male,Urban,1242495,693,367175,12,8,2,0
33,Female,Rural,1584421,543,320501,72,15,1,0
19,Female,Rural,1859659,896,460052,12,8,4,1
45,Female,Rural,1025188,413,952990,60,31,0,0
49,Female,Urban,802648,415,665997,12,33,0,0
44,Male,Urban,1222263,848,738799,12,24,5,0
37,Male,Urban,1244624,883,168881,36,26,2,1
41,Male,Rural,1733874,437,987330,12,26,4,0
29,Male,Urban,542077,708,812696,48,1,3,0
52,Male,Urban,637291,588,180558,24,21,0,1
50,Male,Urban,1976548,828,753556,12,1,0,1
50,Female,Urban,230971,579,792241,36,0,2,0
60,Female,Urban,1714199,476,615012,60,39,5,0
54,Female,Urban,1196358,541,947730,60,38,4,0
29,Female,Rural,381505,841,912365,72,9,2,0
20,Male,Urban,178269,876,538580,72,11,3,0
18,Male,Urban,735915,681,385741,24,36,0,1
50,Male,Rural,1406582,380,284199,36,16,1,0
57,Male,Urban,801636,312,771075,12,2,1,0
27,Male,Urban,921813,743,658271,60,20,1,1
60,Male,Rural,1796615,437,470485,60,11,2,0
61,Female,Urban,313476,492,557047,48,26,3,0
46,Female,Urban,344047,639,402226,24,14,1,0
30,Female,Rural,1319296,690,876521,48,36,0,1
29,Male,Urban,670020,779,465211,60,40,4,1
48,Female,Urban,619584,837,222343,72,2,2,0
63,Female,Urban,810144,536,929289,12,4,3,0
19,Female,Urban,232782,754,908963,12,33,3,0
52,Male,Urban,1443140,849,988733,48,33,1,0
40,Female,Urban,248616,609,357530,12,20,1,0
34,Female,Urban,1646513,856,120547,24,12,0,1
43,Male,Urban,804340,787,394870,48,24,3,1
25,Male,Rural,1326411,667,384083,36,13,4,0
46,Male,Urban,443501,468,807669,12,17,3,0
43,Female,Urban,313222,472,154621,12,2,5,0
27,Female,Urban,1761158,518,601209,72,2,2,0
43,Male,Rural,1348370,717,628845,36,31,2,1
51,Male,Rural,991589,887,642803,24,17,3,0
58,Female,Rural,587230,613,587452,48,31,1,0
24,Male,Urban,495778,890,872037,48,31,1,0
21,Male,Urban,1363599,511,410103,72,35,1,0
62,Male,Urban,1463089,437,218849,24,28,5,0
28,Female,Urban,735812,537,449236,72,38,1,0
